Country,Clicks,Impressions,CTR,Position
United States,247,101338,0.24%,47.54
India,3,707,0.42%,54.14
Dominican Republic,2,20,10%,27.3
Philippines,1,247,0.4%,38.37
Pakistan,1,84,1.19%,28.68
France,1,58,1.72%,26.21
Germany,1,43,2.33%,41.58
Colombia,1,39,2.56%,31.44
Nigeria,1,29,3.45%,25.59
Jordan,1,11,9.09%,18.91
Cyprus,1,2,50%,5
United Kingdom,0,983,0%,67.95
Canada,0,368,0%,46.7
Australia,0,342,0%,51.56
Brazil,0,278,0%,45.47
Russia,0,187,0%,47.21
Indonesia,0,119,0%,42.56
South Korea,0,96,0%,48.95
Italy,0,76,0%,41.93
Ukraine,0,75,0%,44.84
Turkey,0,66,0%,57.35
South Africa,0,64,0%,53.25
Mexico,0,59,0%,38.68
Bangladesh,0,57,0%,43.37
Spain,0,56,0%,34.18
New Zealand,0,48,0%,44.35
Ireland,0,48,0%,63.69
Argentina,0,47,0%,50.91
Vietnam,0,39,0%,49.59
Japan,0,33,0%,36.61
Netherlands,0,33,0%,48.03
Singapore,0,31,0%,37.81
Malaysia,0,29,0%,34.97
Poland,0,24,0%,33.17
Saudi Arabia,0,21,0%,41
Norway,0,21,0%,64.9
Egypt,0,20,0%,39.3
Thailand,0,18,0%,33.89
Iraq,0,18,0%,37.44
Algeria,0,18,0%,53.22
Ecuador,0,17,0%,29.94
United Arab Emirates,0,17,0%,40.29
Taiwan,0,17,0%,49.29
Denmark,0,17,0%,53.24
Jamaica,0,16,0%,26.19
Switzerland,0,16,0%,29.38
Ethiopia,0,13,0%,39.62
Romania,0,13,0%,55.92
Hungary,0,12,0%,29.25
Sweden,0,12,0%,35.58
Finland,0,12,0%,65.5
Israel,0,11,0%,28.36
Chile,0,11,0%,53.09
Uzbekistan,0,10,0%,34
Czechia,0,9,0%,19
Albania,0,9,0%,40.44
Portugal,0,9,0%,57.33
Peru,0,9,0%,60.67
Venezuela,0,8,0%,21.12
Iran,0,8,0%,24.62
Belgium,0,8,0%,27.88
Morocco,0,8,0%,31.75
Greece,0,8,0%,45.5
Tunisia,0,8,0%,46.38
Paraguay,0,8,0%,54.62
Uruguay,0,8,0%,58.5
Ghana,0,7,0%,13.71
Hong Kong,0,7,0%,19.86
Belarus,0,7,0%,29.43
Myanmar (Burma),0,7,0%,39.14
Lithuania,0,7,0%,41.57
Cambodia,0,7,0%,41.71
Nepal,0,6,0%,44.17
Panama,0,6,0%,48.83
Uganda,0,6,0%,51.17
Bosnia & Herzegovina,0,6,0%,52.33
Serbia,0,5,0%,25.6
Georgia,0,5,0%,30.8
Puerto Rico,0,5,0%,54.8
Kazakhstan,0,5,0%,55
Guatemala,0,4,0%,7
El Salvador,0,4,0%,8.25
Trinidad & Tobago,0,4,0%,22.25
Bolivia,0,4,0%,33.5
Estonia,0,4,0%,57
Iceland,0,4,0%,60.5
Burkina Faso,0,4,0%,66.25
Montenegro,0,3,0%,5.33
Kenya,0,3,0%,6.33
Jersey,0,3,0%,7
Nicaragua,0,3,0%,10
Costa Rica,0,3,0%,13
Bahrain,0,3,0%,27
Moldova,0,3,0%,33
Latvia,0,3,0%,34
Azerbaijan,0,3,0%,41
Honduras,0,3,0%,42.33
Mongolia,0,3,0%,51
Bulgaria,0,3,0%,58.67
Unknown Region,0,2,0%,6.5
Cuba,0,2,0%,7.5
Armenia,0,2,0%,9.5
Senegal,0,2,0%,12.5
Austria,0,2,0%,20.5
Kuwait,0,2,0%,20.5
Lebanon,0,2,0%,20.5
Gabon,0,2,0%,29.5
Brunei,0,2,0%,32
Sri Lanka,0,2,0%,34.5
Seychelles,0,2,0%,41.5
Angola,0,2,0%,45
Palestine,0,2,0%,51
Syria,0,2,0%,51
Croatia,0,2,0%,51.5
Bahamas,0,2,0%,53
Afghanistan,0,2,0%,54.5
Barbados,0,2,0%,69.5
China,0,2,0%,70
Bermuda,0,1,0%,5
Cameroon,0,1,0%,6
Oman,0,1,0%,6
Guam,0,1,0%,8
Qatar,0,1,0%,9
Somalia,0,1,0%,9
Côte d’Ivoire,0,1,0%,12
Laos,0,1,0%,12
Suriname,0,1,0%,12
Turkmenistan,0,1,0%,16
Macedonia,0,1,0%,28
Kyrgyzstan,0,1,0%,29
Kosovo,0,1,0%,37
Congo - Brazzaville,0,1,0%,42
Guadeloupe,0,1,0%,59
Slovenia,0,1,0%,73
Zimbabwe,0,1,0%,85
Mauritius,0,1,0%,92
Guyana,0,1,0%,102
