Date,Clicks,Impressions,CTR,Position
2025-07-15,4,157,2.55%,28.85
2025-07-14,5,140,3.57%,18.79
2025-07-13,5,151,3.31%,24.26
2025-07-12,3,155,1.94%,35.12
2025-07-11,2,191,1.05%,27.39
2025-07-10,7,169,4.14%,25.01
2025-07-09,3,121,2.48%,24.17
2025-07-08,3,149,2.01%,25.59
2025-07-07,4,179,2.23%,25.82
2025-07-06,7,133,5.26%,23.15
2025-07-05,3,105,2.86%,26.7
2025-07-04,3,115,2.61%,18.77
2025-07-03,8,149,5.37%,20.79
2025-07-02,7,149,4.7%,26.11
2025-07-01,2,162,1.23%,21.59
2025-06-30,7,204,3.43%,25.24
2025-06-29,6,185,3.24%,26.22
2025-06-28,2,111,1.8%,29.08
2025-06-27,0,172,0%,23.88
2025-06-26,3,162,1.85%,28.48
2025-06-25,5,137,3.65%,29.98
2025-06-24,3,173,1.73%,26.93
2025-06-23,0,151,0%,23.74
2025-06-22,8,170,4.71%,20.18
2025-06-21,2,93,2.15%,26.42
2025-06-20,3,146,2.05%,28.15
2025-06-19,6,154,3.9%,26.16
2025-06-18,4,175,2.29%,24.45
2025-06-17,5,117,4.27%,26.94
2025-06-16,4,130,3.08%,26.9
2025-06-15,9,146,6.16%,30.41
2025-06-14,6,136,4.41%,26.96
2025-06-13,2,123,1.63%,34.14
2025-06-12,4,160,2.5%,29.55
2025-06-11,5,154,3.25%,28.69
2025-06-10,7,122,5.74%,23.42
2025-06-09,5,135,3.7%,26.28
2025-06-08,8,175,4.57%,21.05
2025-06-07,3,115,2.61%,31.29
2025-06-06,1,156,0.64%,21.34
2025-06-05,9,198,4.55%,24.59
2025-06-04,9,169,5.33%,25.11
2025-06-03,5,172,2.91%,25.37
2025-06-02,2,191,1.05%,25.03
2025-06-01,7,187,3.74%,24.05
2025-05-31,3,161,1.86%,31.09
2025-05-30,8,182,4.4%,24.27
2025-05-29,4,177,2.26%,20.59
2025-05-28,4,211,1.9%,29.61
2025-05-27,6,195,3.08%,23.91
2025-05-26,4,200,2%,23
2025-05-25,8,162,4.94%,19.44
2025-05-24,2,119,1.68%,27.01
2025-05-23,3,154,1.95%,25.63
2025-05-22,1,188,0.53%,25.57
2025-05-21,4,173,2.31%,21.89
2025-05-20,8,150,5.33%,24.21
2025-05-19,5,155,3.23%,31.79
2025-05-18,3,154,1.95%,24.33
2025-05-17,7,198,3.54%,25.9
2025-05-16,2,218,0.92%,25.04
2025-05-15,4,241,1.66%,27.15
2025-05-14,5,149,3.36%,27.22
2025-05-13,4,166,2.41%,27.14
2025-05-12,8,174,4.6%,27.34
2025-05-11,4,168,2.38%,28.65
2025-05-10,4,103,3.88%,32.61
2025-05-09,4,139,2.88%,33.01
2025-05-08,5,187,2.67%,28.72
2025-05-07,2,160,1.25%,37.2
2025-05-06,3,147,2.04%,38.1
2025-05-05,3,186,1.61%,31.84
2025-05-04,4,141,2.84%,23.84
2025-05-03,6,120,5%,33.44
2025-05-02,1,129,0.78%,29.63
2025-05-01,3,166,1.81%,30.63
2025-04-30,4,139,2.88%,32.66
2025-04-29,8,146,5.48%,31.94
2025-04-28,5,173,2.89%,34.95
2025-04-27,10,123,8.13%,31.09
2025-04-26,1,106,0.94%,38.18
2025-04-25,8,136,5.88%,28.39
2025-04-24,4,170,2.35%,32.27
2025-04-23,5,145,3.45%,33.12
2025-04-22,3,120,2.5%,33.86
2025-04-21,6,146,4.11%,32.76
2025-04-20,2,125,1.6%,41.92
2025-04-19,4,105,3.81%,34.19
2025-04-18,2,139,1.44%,30.42
2025-04-17,7,124,5.65%,31.58
2025-04-16,3,118,2.54%,30.65
